Team,Context,Period,Avg_Minute,Std_Minute,SEM,IQR_Q1,IQR_Q3,Goal_Count,Total_Matches
Aurora,HOME,2,76.78260869565217,12.097920639286176,2.5225908334097484,66.5,89.5,23,12
Aurora,AWAY,1,29.923076923076923,13.514209046549714,2.6503544476588132,21.0,40.75,26,11
Aurora,AWAY,2,72.28947368421052,14.403280209611493,2.336520584547764,59.25,85.75,38,12
Blooming,HOME,2,72.48148148148148,15.315578721254758,2.947484499170446,58.5,87.0,27,12
Blooming,HOME,1,21.68421052631579,10.419280373844057,2.390346853368575,15.5,28.0,19,10
Blooming,AWAY,2,73.16,13.603553457338514,2.7207106914677026,64.0,83.0,25,12
Blooming,AWAY,1,26.434782608695652,12.474796726186915,2.6011749298419793,16.0,35.0,23,12
Bolivar,HOME,1,26.476190476190474,15.167791690351788,3.3098835022075836,12.0,41.0,21,11
Bolivar,HOME,2,71.68571428571428,14.64636358918331,2.4756873007398204,61.0,87.0,35,13
Bolivar,AWAY,2,73.04761904761905,13.915732788740197,3.0366618502467086,63.0,87.0,21,12
Bolivar,AWAY,1,31.555555555555557,10.455633000345244,2.464416332047324,25.5,38.5,18,11
GV San Jose,HOME,1,28.28,12.617844506887854,2.523568901377571,19.0,36.0,25,12
GV San Jose,AWAY,2,68.5,14.876946239459384,3.506529856423146,55.75,81.5,18,11
GV San Jose,HOME,2,73.04545454545455,11.910288760352469,2.5392820957093214,65.0,81.75,22,9
GV San Jose,AWAY,1,25.7,12.273634557992914,2.7444681202662737,18.0,34.0,20,10
Guabira,AWAY,1,28.761904761904763,11.418864925660351,2.4918006129673738,23.0,39.0,21,11
Guabira,AWAY,2,70.11111111111111,14.078915903430671,2.346485983905112,57.75,83.25,36,13
Guabira,HOME,1,24.2,13.574744351571645,3.03540511472955,13.75,37.25,20,10
Guabira,HOME,2,66.07142857142857,13.094891770312213,2.474701933539461,53.0,71.75,28,12
I. Petrolero,AWAY,1,26.652173913043477,15.761312519330865,3.2864608447387123,11.5,42.5,23,11
I. Petrolero,HOME,2,68.78571428571429,15.891663649378359,3.003242138238592,54.25,84.25,28,12
I. Petrolero,AWAY,2,72.0909090909091,15.067273385477788,2.622875632587645,62.0,89.0,33,12
I. Petrolero,HOME,1,28.5,14.227546412613698,3.8024717236017955,19.75,38.5,14,9
Nacional Potosi,HOME,1,28.36842105263158,13.716213140804447,3.146715103622695,19.5,40.0,19,10
Nacional Potosi,AWAY,1,26.6875,11.585731166683725,2.8964327916709314,17.5,35.25,16,9
Nacional Potosi,HOME,2,76.42307692307692,13.381100334196967,2.624249681438972,64.25,88.5,26,12
Nacional Potosi,AWAY,2,71.88888888888889,14.74045609035331,3.4743588197571236,63.0,87.0,18,9
Oriente P.,AWAY,1,25.956521739130434,11.718199756515366,2.443413556033558,16.5,32.5,23,11
